cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
2.216,6.477,0.684,0.927,25.5,172840.0,102.0
2.363,9.327,0.426,0.97,-25.7,173745.0,246.0
3.82,8.3,1.126,0.898,-25.7,173783.0,254.0
3.008,5.691,0.43,0.853,25.7,174123.0,326.0
3.001,6.274,0.303,0.947,25.8,174376.0,429.0
3.202,5.815,1.102,0.806,25.8,174423.0,186.0
3.179,8.512,0.941,0.943,-25.8,174569.0,221.0
3.834,8.719,0.663,0.95,-25.9,175605.0,116.0
2.397,8.47,0.858,0.913,-26.0,175880.0,196.0
3.688,8.574,0.99,0.971,-26.1,176596.0,235.0
2.7,6.021,0.631,0.86,26.1,177033.0,137.0
3.884,6.39,0.853,0.924,26.2,177560.0,174.0
3.987,8.294,0.737,0.85,-26.3,178160.0,114.0
2.867,8.36,0.904,0.887,-26.4,178793.0,203.0
3.558,8.648,0.381,0.823,-26.6,179910.0,331.0
2.636,9.848,0.27,0.898,-26.6,180039.0,528.0
2.004,8.908,0.452,0.88,-26.6,180275.0,248.0
2.043,5.842,0.965,0.817,26.7,180657.0,155.0
2.69,6.753,0.514,0.994,26.7,181068.0,168.0
2.997,6.026,0.683,0.865,26.8,181764.0,148.0
2.899,5.736,0.65,0.827,26.9,182033.0,161.0
2.685,8.424,0.617,0.841,-26.9,182048.0,145.0
2.096,6.17,1.069,0.871,27.0,182553.0,158.0
3.27,5.518,0.682,0.804,27.0,182561.0,189.0
3.188,5.685,0.645,0.827,27.1,183247.0,178.0
3.479,6.417,0.695,0.941,27.1,183751.0,153.0
2.013,8.338,0.754,0.848,-27.2,183868.0,152.0
3.064,6.462,0.519,0.956,27.2,184500.0,192.0
3.89,6.427,0.963,0.933,27.4,185431.0,177.0
3.861,5.677,0.975,0.815,27.4,185763.0,220.0
2.817,6.664,0.332,0.997,27.5,185873.0,382.0
3.264,9.462,0.3,0.874,-27.5,186494.0,456.0
2.065,5.952,0.801,0.845,27.7,187389.0,135.0
2.329,9.402,0.366,0.905,-27.7,187480.0,349.0
2.09,8.241,1.05,0.85,-27.7,187637.0,239.0
