,ucmp,vcmp,geop,topog
358,147.32675,147.32675,147.3335,147.3335
359,147.34024,147.34024,147.347,147.347
360,147.35374,147.35374,147.3605,147.3605
361,147.36725,147.36725,147.37401,147.37401
362,147.38074,147.38074,147.3875,147.3875
363,147.39424,147.39424,147.401,147.401
364,147.40775,147.40775,147.4145,147.4145
365,147.42125,147.42125,147.42801,147.42801
366,147.43474,147.43474,147.4415,147.4415
367,147.44824,147.44824,147.455,147.455
368,147.46175,147.46175,147.4685,147.4685
369,147.47525,147.47525,147.48201,147.48201
370,147.48874,147.48874,147.4955,147.4955
